Publication.Year,Study.Name,Study.Name.numbered,Title,Journal,Paper.Notes,WoS.Search,Google.Scholar,Partial.database,Original.Source_Publication.Year,Uses.Hatching.Success_Failure,Uses.Hatchability,Study.Start,Study.End,Order,Common.Name,IUCN.Name,BirdTree.Tip,IUCN.Status.Current.Parent,Regional.Threat.Status,IUCN.Status.Current_SUB,Threat_Status_SUB,Latitude,Longitude,Wild.Managed.Captive,Incubation,Nestboxes.Burrows.Sites,Supplementary.Feeding,Mean.Hatching.Failure.std,Mean.Hatching.Success.std,Standard.Error,Standard.Deviation,Clutch.Size.BoW,Clutch.Size.NZBO,Av.Clutch.Size,Av.Clutch.Size.Mean,Cooney2020_log.Clutch.Size,Cooney2020_10^.Clutch.Size,Nest.Clutch.no,Eggs.no,Eggs.StudyClutch.Mean,Eggs.CooneyClutch,Egg.NZBO.Clutch.Size,Egg.BoW.Clutch.Size,Total,Cases,Proportion,Standardised.Hatching.Success.Definition,Standardised.Hatchability.Definition,Other.Definition,Calculations.Estimations_HatchingFailure,Calculations.Estimations_TotalEggs,TotalEggs_Summary
2012,Custer et al. 2012,Custer et al. 2012 (02),"Exposure and effects of perfluoroalkyl compounds on tree swallows nesting at Lake Johanna in east central Minnesota, USA",Reproductive Toxicology,NA,YES,NO,NO,2012,YES,YES,2008,2009,Passeriformes,Tree Swallow,Tachycineta_bicolor,Tachycineta_bicolor,NA,,LC,Non-threatened,45.0438890,-93.1708330,Wild managed,Natural,Yes,No,10.44776119,89.55223881,0.00,0.00,,,5.4,5.4,0.719331287,5.24,15,67,81,78.6,NA,NA,67,60,0.895522388,Percentage/Proportion of eggs that hatched out of eggs laid,Not stated,NA,HS% calculated from Table 4,Total eggs calculated from Table 4,Actual total
2013,Custer et al. 2013,Custer et al. 2013,Dredging and contaminant exposure to tree swallows nesting on the upper Mississippi River,Environmental Monitoring and Assessment,NA,YES,NO,NO,2013,YES,NO,2007,2010,Passeriformes,Tree Swallow,Tachycineta_bicolor,Tachycineta_bicolor,NA,,LC,Non-threatened,35.5147060,-89.9125060,Wild managed,Natural,Yes,No,11.4481409,88.5518591,0.00,0.00,,,NA,NA,0.719331287,5.24,NA,1022,NA,NA,NA,NA,1022,905,0.885518591,Not stated,NA,NA,HS% calculated from text,Total eggs calculated from text,Actual total
2014,Custer et al. 2014,Custer et al. 2014 (01),"Exposure and effects of perfluoroalkyl substances in tree swallows nesting in Minnesota and Wisconsin, USA",Archives of Environmental Contamination and Toxicology,NA,YES,NO,NO,2014,YES,NO,2007,2011,Passeriformes,Tree Swallow,Tachycineta_bicolor,Tachycineta_bicolor,NA,,LC,Non-threatened,42.0438780,-93.1709470,Wild managed,Natural,Yes,No,8.955223881,91.04477612,0.00,0.00,,,NA,NA,0.719331287,5.24,NA,67,NA,NA,NA,NA,67,61,0.910447761,Percentage/Proportion of eggs that hatched out of eggs available,NA,NA,HS% calculated from Table 5,Total eggs calculated from Table 5,Actual total
2014,Custer et al. 2014,Custer et al. 2014 (02),"Exposure and effects of perfluoroalkyl substances in tree swallows nesting in Minnesota and Wisconsin, USA",Archives of Environmental Contamination and Toxicology,NA,YES,NO,NO,2014,YES,NO,2007,2011,Passeriformes,Tree Swallow,Tachycineta_bicolor,Tachycineta_bicolor,NA,,LC,Non-threatened,43.7646830,-91.3654250,Wild managed,Natural,Yes,No,8.450704225,91.54929577,0.00,0.00,,,NA,NA,0.719331287,5.24,NA,71,NA,NA,NA,NA,71,65,0.915492958,Percentage/Proportion of eggs that hatched out of eggs available,NA,NA,HS% calculated from Table 5,Total eggs calculated from Table 5,Actual total
2014,Custer et al. 2014,Custer et al. 2014 (03),"Exposure and effects of perfluoroalkyl substances in tree swallows nesting in Minnesota and Wisconsin, USA",Archives of Environmental Contamination and Toxicology,NA,YES,NO,NO,2014,YES,NO,2007,2011,Passeriformes,Tree Swallow,Tachycineta_bicolor,Tachycineta_bicolor,NA,,LC,Non-threatened,46.0241280, -89.470214,Wild managed,Natural,Yes,No,4.109589041,95.89041096,0.00,0.00,,,NA,NA,0.719331287,5.24,NA,73,NA,NA,NA,NA,73,70,0.95890411,Percentage/Proportion of eggs that hatched out of eggs available,NA,NA,HS% calculated from Table 5,Total eggs calculated from Table 5,Actual total
2014,Custer et al. 2014,Custer et al. 2014 (04),"Exposure and effects of perfluoroalkyl substances in tree swallows nesting in Minnesota and Wisconsin, USA",Archives of Environmental Contamination and Toxicology,NA,YES,NO,NO,2014,YES,NO,2007,2011,Passeriformes,Tree Swallow,Tachycineta_bicolor,Tachycineta_bicolor,NA,,LC,Non-threatened,43.6755190,-91.2765560,Wild managed,Natural,Yes,No,6.41025641,93.58974359,0.00,0.00,,,NA,NA,0.719331287,5.24,NA,78,NA,NA,NA,NA,78,73,0.935897436,Percentage/Proportion of eggs that hatched out of eggs available,NA,NA,HS% calculated from Table 5,Total eggs calculated from Table 5,Actual total
2014,Custer et al. 2014,Custer et al. 2014 (05),"Exposure and effects of perfluoroalkyl substances in tree swallows nesting in Minnesota and Wisconsin, USA",Archives of Environmental Contamination and Toxicology,NA,YES,NO,NO,2014,YES,NO,2007,2011,Passeriformes,Tree Swallow,Tachycineta_bicolor,Tachycineta_bicolor,NA,,LC,Non-threatened,46.1906220,-89.9580720,Wild managed,Natural,Yes,No,5.882352941,94.11764706,0.00,0.00,,,NA,NA,0.719331287,5.24,NA,85,NA,NA,NA,NA,85,80,0.941176471,Percentage/Proportion of eggs that hatched out of eggs available,NA,NA,HS% calculated from Table 5,Total eggs calculated from Table 5,Actual total
2014,Custer et al. 2014,Custer et al. 2014 (06),"Exposure and effects of perfluoroalkyl substances in tree swallows nesting in Minnesota and Wisconsin, USA",Archives of Environmental Contamination and Toxicology,NA,YES,NO,NO,2014,YES,NO,2007,2011,Passeriformes,Tree Swallow,Tachycineta_bicolor,Tachycineta_bicolor,NA,,LC,Non-threatened,44.9273220,-93.0274780,Wild managed,Natural,Yes,No,9.090909091,90.90909091,0.00,0.00,,,NA,NA,0.719331287,5.24,NA,88,NA,NA,NA,NA,88,80,0.909090909,Percentage/Proportion of eggs that hatched out of eggs available,NA,NA,HS% calculated from Table 5,Total eggs calculated from Table 5,Actual total
2014,Custer et al. 2014,Custer et al. 2014 (07),"Exposure and effects of perfluoroalkyl substances in tree swallows nesting in Minnesota and Wisconsin, USA",Archives of Environmental Contamination and Toxicology,NA,YES,NO,NO,2014,YES,NO,2007,2011,Passeriformes,Tree Swallow,Tachycineta_bicolor,Tachycineta_bicolor,NA,,LC,Non-threatened,44.7572780,-92.8727310,Wild managed,Natural,Yes,No,16.12903226,83.87096774,0.00,0.00,,,NA,NA,0.719331287,5.24,NA,93,NA,NA,NA,NA,93,78,0.838709677,Percentage/Proportion of eggs that hatched out of eggs available,NA,NA,HS% calculated from Table 5,Total eggs calculated from Table 5,Actual total
2014,Custer et al. 2014,Custer et al. 2014 (08),"Exposure and effects of perfluoroalkyl substances in tree swallows nesting in Minnesota and Wisconsin, USA",Archives of Environmental Contamination and Toxicology,NA,YES,NO,NO,2014,YES,NO,2007,2011,Passeriformes,Tree Swallow,Tachycineta_bicolor,Tachycineta_bicolor,NA,,LC,Non-threatened,45.1626110,-93.7894170,Wild managed,Natural,Yes,No,2.48447205,97.51552795,0.00,0.00,,,NA,NA,0.719331287,5.24,NA,161,NA,NA,NA,NA,161,157,0.97515528,Percentage/Proportion of eggs that hatched out of eggs available,NA,NA,HS% calculated from Table 5,Total eggs calculated from Table 5,Actual total
2018,Custer et al. 2018,Custer et al. 2018,Reproductive success and contaminant associations in tree swallows (Tachycineta bicolor) used to assess a Beneficial Use Impairment in U.S. and Binational Great Lakes’ Areas of Concern,Ecotoxicology,Found via Dataset Search - 'egg hatching success',NO,NO,NO,2018,YES,NO,2010,2014,Passeriformes,Tree Swallow,Tachycineta_bicolor,Tachycineta_bicolor,NA,,LC,Non-threatened,45.0522000,-82.4846000,Wild,Natural,No,No,14.73684211,85.26315789,0.00,0.00,,,NA,NA,0.719331287,5.24,NA,1057.35,NA,NA,NA,NA,1057.35,901.53,0.852631579,Not stated,NA,NA,HS% calculated from Table 5,Total eggs calculated from Table 5,Actual total
2010,D'Alba et al. 2010,D'Alba et al. 2010,Experimental evidence that keeping eggs dry is a mechanism for the antimicrobial effects of avian incubation,Naturwissenschaften,NA,YES,NO,NO,2010,YES,NO,2009,2009,Passeriformes,Tree Swallow,Tachycineta_bicolor,Tachycineta_bicolor,NA,,LC,Non-threatened,41.1829170,-81.6313890,Wild managed,Natural,Yes,No,0,100,0.00,0.00,,,4-5 eggs,4.5,0.719331287,5.24,13,51,58.5,68.12,NA,NA,51,51,1,Not stated,NA,NA,HS% calculated from text,NA,Actual total
2008,de Marsico et al. 2008,de Marsico et al. 2008 (01),Differential reproductive success favours strong host preference in a highly specialized brood parasite,Proceedings of the Royal Society B - Biological Sciences,NA,YES,NO,NO,2008,YES,YES,2003,2006,Passeriformes,Screaming Cowbird,Molothrus_rufoaxillaris,Molothrus_rufoaxillaris,NA,,LC,Non-threatened,-35.1333330,-57.3833330,Wild managed,Natural,Yes,No,26.31578947,73.68421053,0.00,0.00,,,NA,NA,NA,NA,NA,19,NA,NA,NA,NA,19,14,0.736842105,Percentage/Proportion of eggs that hatched out of eggs that survived the entire incubation period,Not stated,NA,HS% calculated from text,NA,Actual total
2008,de Marsico et al. 2008,de Marsico et al. 2008 (02),Differential reproductive success favours strong host preference in a highly specialized brood parasite,Proceedings of the Royal Society B - Biological Sciences,NA,YES,NO,NO,2008,YES,YES,2003,2006,Passeriformes,Screaming Cowbird,Molothrus_rufoaxillaris,Molothrus_rufoaxillaris,NA,,LC,Non-threatened,-35.1333330,-57.3833330,Wild managed,Natural,Yes,No,30,70,0.00,0.00,,,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,20,14,0.7,Percentage/Proportion of eggs that hatched out of eggs that survived the entire incubation period,Not stated,NA,HS% calculated from text,NA,Actual total
2008,de Marsico et al. 2008,de Marsico et al. 2008 (03),Differential reproductive success favours strong host preference in a highly specialized brood parasite,Proceedings of the Royal Society B - Biological Sciences,NA,YES,NO,NO,2008,YES,YES,2003,2006,Passeriformes,Screaming Cowbird,Molothrus_rufoaxillaris,Molothrus_rufoaxillaris,NA,,LC,Non-threatened,-35.1333330,-57.3833330,Wild,Natural,No,No,16.12903226,83.87096774,0.00,0.00,,,NA,NA,NA,NA,NA,31,NA,NA,NA,NA,31,26,0.838709677,Percentage/Proportion of eggs that hatched out of eggs that survived the entire incubation period,Not stated,NA,HS% calculated from text,NA,Actual total
2010,de Marsico et al. 2010,de Marsico et al. 2010 (01),Reproductive success and nestling growth of the Baywing parasitized by Screaming and Shiny Cowbirds,The Wilson Journal of Ornithology,NA,YES,NO,NO,2010,YES,NO,2002,2007,Passeriformes,Greyish Baywing/Baywing,Agelaioides_badius,Agelaioides_badius,NA,,LC,Non-threatened,-35.1333330,-57.3833330,Wild,Natural,No,No,12,88,NA,NA,,,4.0 ± 0.1,4,NA,NA,54,NA,216,NA,NA,NA,216,190.08,0.88,Percentage/Proportion of eggs that hatched out of eggs that survived the entire incubation period in nests that survived until the nestling stage,NA,NA,NA,Total eggs estimated based on mean clutch size from study and number of clutches from text,Estimated from study mean
2010,de Marsico et al. 2010,de Marsico et al. 2010 (02),Reproductive success and nestling growth of the Baywing parasitized by Screaming and Shiny Cowbirds,The Wilson Journal of Ornithology,NA,YES,NO,NO,2010,YES,NO,2002,2007,Passeriformes,Shiny Cowbird,Molothrus_bonariensis,Molothrus_bonariensis,NA,,LC,Non-threatened,-35.1333330,-57.3833330,Wild,Natural,No,No,6,94,NA,NA,,,1.4 ± 0.1,1.4,NA,NA,18,NA,25.2,NA,NA,NA,25.2,23.688,0.94,Percentage/Proportion of eggs that hatched out of eggs that survived the entire incubation period in nests that survived until the nestling stage,NA,NA,NA,Total eggs estimated based on mean clutch size from study and number of clutches from text,Estimated from study mean
2010,de Marsico et al. 2010,de Marsico et al. 2010 (03),Reproductive success and nestling growth of the Baywing parasitized by Screaming and Shiny Cowbirds,The Wilson Journal of Ornithology,NA,YES,NO,NO,2010,YES,NO,2002,2007,Passeriformes,Screaming Cowbird,Molothrus_rufoaxillaris,Molothrus_rufoaxillaris,NA,,LC,Non-threatened,-35.1333330,-57.3833330,Wild,Natural,No,No,8,92,NA,NA,,,5.0 ± 0.3,5,NA,NA,40,NA,200,NA,NA,NA,200,184,0.92,Percentage/Proportion of eggs that hatched out of eggs that survived the entire incubation period in nests that survived until the nestling stage,NA,NA,NA,Total eggs estimated based on mean clutch size from study and number of clutches from text,Estimated from study mean
2018,de Zwaan & Martin 2018,de Zwaan & Martin 2018,Substrate and structure of ground nests have fitness consequences for an alpine songbird,Ibis,NA,YES,NO,NO,2018,YES,NO,2015,2016,Passeriformes,Horned Lark,Eremophila_alpestris,Eremophila_alpestris,NA,,LC,Non-threatened,54.8000000,-127.3000000,Wild,Natural,No,No,6.5,93.5,0.00,0.00,,,NA,NA,0.526016021,3.3575,106,400,NA,355.895,NA,NA,400,374,0.935,Percentage/Proportion of eggs that hatched per clutch/nest excluding predation,NA,NA,NA,NA,Actual total
2019,Debata et al. 2019,Debata et al. 2019,Breeding ecology and causes of nest failure in the Indian Skimmer Rynchops albicollis,Bird Study,NA,YES,NO,NO,2019,YES,NO,2017,2018,Charadriiformes,Indian Skimmer,Rynchops_albicollis,Rynchops_albicollis,NA,,VU,Threatened,20.4000860,85.6672225,Wild,Natural,No,No,0,100,0.00,0.00,,,"2.73 ± 0.10, 2.99 ± 0.08",2.86,NA,NA,141,344,403.26,NA,NA,NA,344,344,1,Percentage/Proportion of successful clutches/nests (at least one egg hatched) out of total monitored clutches/nests,NA,NA,NA,NA,Actual total
2011,Deeming & Du Feu 2011,Deeming & Du Feu 2011 (01),Long-term patterns in egg mortality during incubation and chick mortality during rearing in three species of tits in an English woodland,Bird Study,Found in Stewart & Westneat (2013) Appendix 1,NO,NO,NO,2011,YES,YES,1979,2008,Passeriformes,Eurasian Blue Tit,Cyanistes_caeruleus,Parus_caeruleus,NA,,LC,Non-threatened,53.3000000,-0.8500000,Wild managed,Natural,Yes,No,7,93,0.80,NA,,,9.3 ± 0.2,9.3,0.890001613,7.7625,654,NA,6082.2,5076.675,NA,NA,6082.2,5656.446,0.93,Not stated,Not stated,NA,HS% calculated from Table 3,Total eggs estimated based on mean clutch size from study and number of clutches from Table 1,Estimated from study mean
2011,Deeming & Du Feu 2011,Deeming & Du Feu 2011 (02),Long-term patterns in egg mortality during incubation and chick mortality during rearing in three species of tits in an English woodland,Bird Study,Found in Stewart & Westneat (2013) Appendix 1,NO,NO,NO,2011,YES,YES,1979,2008,Passeriformes,Great Tit,Parus_major,Parus_major,NA,,LC,Non-threatened,53.3000000,-0.8500000,Wild managed,Natural,Yes,No,10.1,89.9,1.20,NA,,,8.3 ± 0.2,8.3,0.927498682,8.4625,399,NA,3311.7,3376.5375,NA,NA,3311.7,2977.2183,0.899,Not stated,Not stated,NA,HS% calculated from Table 3,Total eggs estimated based on mean clutch size from study and number of clutches from Table 1,Estimated from study mean
2011,Deeming & Du Feu 2011,Deeming & Du Feu 2011 (03),Long-term patterns in egg mortality during incubation and chick mortality during rearing in three species of tits in an English woodland,Bird Study,Found in Stewart & Westneat (2013) Appendix 1,NO,NO,NO,2011,YES,YES,1979,2008,Passeriformes,Coal Tit,Periparus_ater,Parus_ater,NA,,LC,Non-threatened,53.3000000,-0.8500000,Wild managed,Natural,Yes,No,8.7,91.3,2.40,NA,,,9.7 ± 0.2,9.7,0.790636962,6.175,52.5,NA,509.25,324.1875,NA,NA,509.25,464.94525,0.913,Not stated,Not stated,NA,HS% calculated from Table 3,Total eggs estimated based on mean clutch size from study and number of clutches from Table 1,Estimated from study mean
2011,Deng et al. 2011,Deng et al. 2011 (01),Conspecific brood parasitism and nesting biology of Mandarin Ducks (Aix galericulata) in Northeastern China,The Wilson Journal of Ornithology,NA,YES,NO,NO,2011,YES,NO,2004,2009,Anseriformes,Mandarin Duck,Aix_galericulata,Aix_galericulata,NA,,LC,Non-threatened,44.5916667,126.5250002,Wild managed,Natural,Yes,No,16.5,83.5,NA,3.90,,,18.8 ± 3.2,18.8,1.030397301,10.725,7,NA,131.6,75.075,NA,NA,131.6,109.886,0.835,Not stated,NA,NA,NA,Total eggs estimated based on mean clutch size from study and number of successful clutches in Table 1,Estimated from study mean
2011,Deng et al. 2011,Deng et al. 2011 (02),Conspecific brood parasitism and nesting biology of Mandarin Ducks (Aix galericulata) in Northeastern China,The Wilson Journal of Ornithology,NA,YES,NO,NO,2011,YES,NO,2004,2009,Anseriformes,Mandarin Duck,Aix_galericulata,Aix_galericulata,NA,,LC,Non-threatened,44.5916667,126.5250002,Wild managed,Natural,Yes,No,11.3,88.7,NA,3.20,,,9.7 ± 1.6,9.7,1.030397301,10.725,16,NA,155.2,171.6,NA,NA,155.2,137.6624,0.887,Not stated,NA,NA,NA,Total eggs estimated based on mean clutch size from study and number of successful clutches in Table 1,Estimated from study mean
2011,Di Giacomo & Reboreda 2011,Di Giacomo & Reboreda 2011 (01),Effects of grassland burning on reproductive success of globally threatened Strange-tailed Tyrants Alectrurus risora,Bird Conservation International,NA,YES,NO,NO,2011,YES,YES,2004,2005,Passeriformes,Strange-tailed Tyrant,Alectrurus_risora,Alectrurus_risora,NA,,VU,Threatened,-26.3063890,-58.8236110,Wild,Natural,No,No,11,89,4.00,NA,,,2.53 ± 0.11,2.53,0.477121255,3,22,NA,55.66,66,NA,NA,55.66,49.5374,0.89,Percentage/Proportion of eggs that hatched out of eggs that survived the entire incubation period,Not stated,NA,NA,Total eggs estimated based on mean clutch size from study and number of clutches from Table 1,Estimated from study mean
2011,Di Giacomo & Reboreda 2011,Di Giacomo & Reboreda 2011 (02),Effects of grassland burning on reproductive success of globally threatened Strange-tailed Tyrants Alectrurus risora,Bird Conservation International,NA,YES,NO,NO,2011,YES,YES,2007,2008,Passeriformes,Strange-tailed Tyrant,Alectrurus_risora,Alectrurus_risora,NA,,VU,Threatened,-26.3063890,-58.8236110,Wild,Natural,No,No,8,92,4.00,NA,,,2.79 ± 0.12,2.79,0.477121255,3,25,NA,69.75,75,NA,NA,69.75,64.17,0.92,Percentage/Proportion of eggs that hatched out of eggs that survived the entire incubation period,Not stated,NA,NA,Total eggs estimated based on mean clutch size from study and number of clutches from Table 1,Estimated from study mean
2011,Di Giacomo & Reboreda 2011,Di Giacomo & Reboreda 2011 (03),Effects of grassland burning on reproductive success of globally threatened Strange-tailed Tyrants Alectrurus risora,Bird Conservation International,NA,YES,NO,NO,2011,YES,YES,2006,2006,Passeriformes,Strange-tailed Tyrant,Alectrurus_risora,Alectrurus_risora,NA,,VU,Threatened,-26.3063890,-58.8236110,Wild,Natural,No,No,21,79,5.00,NA,,,2.79 ± 0.13,2.79,0.477121255,3,16,NA,44.64,48,NA,NA,44.64,35.2656,0.79,Percentage/Proportion of eggs that hatched out of eggs that survived the entire incubation period,Not stated,NA,NA,Total eggs estimated based on mean clutch size from study and number of clutches from Table 1,Estimated from study mean
2015,Di Giacomo & Reboreda 2015,Di Giacomo & Reboreda 2015 (01),"Reproductive success of the specialist brood parasite Screaming Cowbird in an alternative host, the Chopi Blackbird",The Auk,NA,YES,NO,NO,2015,YES,YES,1997,2008,Passeriformes,Screaming Cowbird,Molothrus_rufoaxillaris,Molothrus_rufoaxillaris,NA,,LC,Non-threatened,-26.3048610,-58.8308610,Wild managed,Natural,Yes,No,48,52,5.00,NA,,,3.1 ± 0.2,3.1,NA,NA,63,NA,195.3,NA,NA,NA,195.3,101.556,0.52,Percentage/Proportion of eggs that hatched out of eggs that survived the entire incubation period,Not stated,NA,NA,Total eggs estimated based on mean clutch size from study and number of clutches from Table 2,Estimated from study mean
2015,Di Giacomo & Reboreda 2015,Di Giacomo & Reboreda 2015 (02),"Reproductive success of the specialist brood parasite Screaming Cowbird in an alternative host, the Chopi Blackbird",The Auk,NA,YES,NO,NO,2015,YES,YES,1996,2008,Passeriformes,Screaming Cowbird,Molothrus_rufoaxillaris,Molothrus_rufoaxillaris,NA,,LC,Non-threatened,-26.3048610,-58.8308610,Wild managed,Natural,Yes,No,8,92,8.00,NA,,,2.7 ± 0.2,2.7,NA,NA,8,NA,21.6,NA,NA,NA,21.6,19.872,0.92,Percentage/Proportion of eggs that hatched out of eggs that survived the entire incubation period,Not stated,NA,NA,Total eggs estimated based on mean clutch size from study and number of clutches from Table 2,Estimated from study mean
2011,Di Giacomo et al. 2011,Di Giacomo et al. 2011,"Male and female reproductive success in a threatened polygynous species: The Strange-tailed Tyrant, Alectrurus risora",The Condor,NA,YES,NO,NO,2011,YES,NO,2000,2008,Passeriformes,Strange-tailed Tyrant,Alectrurus_risora,Alectrurus_risora,NA,,VU,Threatened,-26.3048610,-58.8308610,Wild,Natural,No,No,14,86,2.00,NA,,,2.9 ± 0.03,2.9,0.477121255,3,110,NA,319,330,NA,NA,319,274.34,0.86,Percentage/Proportion of eggs that hatched out of eggs that survived the entire incubation period,NA,NA,NA,Total eggs estimated based on mean clutch size from study and number of clutches from text,Estimated from study mean
2011,Dias 2011,Dias 2011,"Nesting biology of the Yellow-faced Parrot (Alipiopsitta xanthops), a species without nest-site fidelity: an indication of high cavity availability?",Emu,NA,YES,NO,NO,2011,YES,NO,2007,2009,Psittaciformes,Yellow-faced Amazon/Yellow-faced Parrot,Alipiopsitta_xanthops,Alipiopsitta_xanthops,NA,,NT,Non-threatened,-15.9333330,-47.9166670,Wild managed,Natural,Yes,No,8,92,0.00,0.00,,,2.2 ± 0.6,2.2,NA,NA,9,NA,19.8,NA,NA,NA,19.8,18.216,0.92,Not stated,NA,NA,NA,Total eggs estimated based on mean clutch size from study and number of clutches from text,Estimated from study mean
2009,Dieter & Anderson 2009,Dieter & Anderson 2009,Reproductive success and brood movements of Giant Canada Geese in Eastern South Dakota,American Midland Naturalist,NA,YES,NO,NO,2009,YES,NO,2001,2004,Anseriformes,Giant Canada Goose,Branta_canadensis_maxima,Branta_canadensis,LC,Not Evaluated,LC,Non-threatened,45.1439640,-98.1835910,Wild,Natural,No,No,5.907172996,94.092827,0.00,0.00,,,5.73 ± 0.17,5.73,0.713910354,5.175,NA,237,NA,NA,NA,NA,237,223,0.94092827,Percentage/Proportion of eggs that hatched in successful clutches/nests (at least one egg hatched),NA,[Egg Success] Percentage of eggs that hatched from all nests,HS% calculated from text,Total eggs calculated from text,Actual total
2020,Diez-Méndez 2020,Diez-Méndez 2020,The role of partial incubation and egg repositioning within the clutch in hatching asynchrony and subsequent effects on breeding success,Ibis,NA,NO,"""hatching success""",NO,2020,YES,NO,2014,2014,Passeriformes,Great Tit,Parus_major,Parus_major,NA,,LC,Non-threatened,39.7000000,-0.2500000,Wild managed,Natural,Yes,No,17.64705882,82.35294118,0.00,0.00,,,9 ± 1.37,9,0.927498682,8.4625,17,153,153,143.8625,NA,NA,153,126,0.823529412,Percentage/Proportion of eggs that hatched relative to clutch size,NA,NA,HS% calculated from supplementary data,Total eggs calculated from supplementary data,Actual total
2018,Djelailia et al. 2018,Djelailia et al. 2018,Distribution and breeding ecology of the Ferruginous Duck Aythya nyroca in Algeria,Ostrich,NA,YES,NO,NO,2018,NO,NO,2011,2011,Anseriformes,Ferruginous Duck,Aythya_nyroca,Aythya_nyroca,NA,,NT,Non-threatened,36.8833330,8.5166670,Wild,Natural,No,No,25,75,NA,NA,,,13.3 ± 6.0,13.3,0.953034457,8.975,26,NA,345.8,233.35,NA,NA,345.8,259.35,0.75,NA,NA,NA,NA,Total eggs estimated based on mean clutch size from study and number of clutches from text,Estimated from study mean
2008,Djerdali et al. 2008,Djerdali et al. 2008 (01),Food supply and external cues limit the clutch size and hatchability in the White Stork Ciconia ciconia,Acta Ornithologica,NA,YES,NO,NO,2008,YES,YES,2002,2004,Ciconiiformes,White Stork,Ciconia_ciconia,Ciconia_ciconia,NA,,LC,Non-threatened,35.8166670,5.5166670,Wild,Natural,No,No,26.4,73.6,NA,20.00,,,3.68 ± 0.74,3.68,0.57595717,3.7666665,36,NA,132.48,135.599994,NA,NA,132.48,97.50528,0.736,Percentage/Proportion of eggs that hatched per clutch/nest,Not stated,NA,NA,Total eggs estimated based on mean clutch size from study and number of clutches from text,Estimated from study mean
2008,Djerdali et al. 2008,Djerdali et al. 2008 (02),Food supply and external cues limit the clutch size and hatchability in the White Stork Ciconia ciconia,Acta Ornithologica,NA,YES,NO,NO,2008,YES,YES,2002,2004,Ciconiiformes,White Stork,Ciconia_ciconia,Ciconia_ciconia,NA,,LC,Non-threatened,35.8166670,5.5166670,Wild,Natural,No,No,20.7,79.3,NA,25.00,,,4.21 ± 0.79,4.21,0.57595717,3.7666665,104,NA,437.84,391.733316,NA,NA,437.84,347.20712,0.793,Percentage/Proportion of eggs that hatched per clutch/nest,Not stated,NA,NA,Total eggs estimated based on mean clutch size from study and number of clutches from text,Estimated from study mean
2011,Doherty & Heath 2011,Doherty & Heath 2011,"Factors affecting piping plover hatching success on Long Island, New York",The Journal of Wildlife Management,Also found in Stewart & Westneat (2013) Appendix 2,YES,NO,NO,2011,YES,YES,2006,2007,Charadriiformes,Piping Plover,Charadrius_melodus,Charadrius_melodus,NA,,NT,Non-threatened,40.7925560,-73.1359790,Wild managed,Natural,No,No,9,91,2.00,NA,,,3.6 ± 0.08,3.6,0.582347494,3.8225,67,NA,241.2,256.1075,NA,NA,241.2,219.492,0.91,Percentage/Proportion of eggs that hatched out of eggs laid [Apparent Hatching Success],"Percentage/Proportion of eggs that hatched out of eggs that survived the entire incubation period, excluding failure due to predation or physical destruction",[Apparent Hatching Success] Total number of eggs hatched divided by total number of eggs laid,NA,Total eggs estimated based on mean clutch size from study and number of clutches from text,Estimated from study mean
2015,Dominguez et al. 2015,Dominguez et al. 2015 (01),Impact of Shiny Cowbird and botfly parasitism on the reproductive success of the globally endangered Yellow Cardinal Gubernatrix cristata,Bird Conservation International,NA,YES,NO,NO,2015,YES,NO,2011,2012,Passeriformes,Yellow Cardinal,Gubernatrix_cristata,Gubernatrix_cristata,NA,,EN,Threatened,-28.9333330,-57.8000000,Wild,Natural,No,No,32,68,11.00,NA,,,3 ± 0.12,3,NA,NA,5,NA,15,NA,NA,NA,15,10.2,0.68,Percentage/Proportion of eggs that hatched out of eggs that survived the entire incubation period,NA,NA,NA,Total eggs estimated based on mean clutch size from study and number of clutches from text,Estimated from study mean
2015,Dominguez et al. 2015,Dominguez et al. 2015 (02),Impact of Shiny Cowbird and botfly parasitism on the reproductive success of the globally endangered Yellow Cardinal Gubernatrix cristata,Bird Conservation International,NA,YES,NO,NO,2015,YES,NO,2011,2012,Passeriformes,Yellow Cardinal,Gubernatrix_cristata,Gubernatrix_cristata,NA,,EN,Threatened,-28.9333330,-57.8000000,Wild,Natural,No,No,23,77,8.00,NA,,,3 ± 0.12,3,NA,NA,13,NA,39,NA,NA,NA,39,30.03,0.77,Percentage/Proportion of eggs that hatched out of eggs that survived the entire incubation period,NA,NA,NA,Total eggs estimated based on mean clutch size from study and number of clutches from text,Estimated from study mean
2017,Dorset et al. 2017,Dorset et al. 2017 (01),Behavioral plasticity in response to perceived predation risk in breeding House Wrens,Evolutionary Biology,NA,YES,NO,NO,2017,YES,NO,2014,2015,Passeriformes,House Wren,Troglodytes_aedon,Troglodytes_aedon,NA,,LC,Non-threatened,40.6680000,-88.8920000,Wild managed,Natural,Yes,No,6,94,2.00,NA,,,6-8 eggs,7,0.798132497,6.2825,24,NA,168,150.78,NA,NA,168,157.92,0.94,Percentage/Proportion of eggs that hatched out of eggs that survived the entire incubation period,NA,NA,NA,Total eggs estimated based on mean clutch size from study and number of clutches from text,Estimated from study mean
